City,Temperature (Â°C)
United Kingdom,8
Paris,15
Amsterdam,9
Rome,25
Madrid,16
Lisbon,18
Athens,21
Barcelona,21
Berlin,10
Milan,14
Vienna,13
Brussels,14
Prague,13
Budapest,14
Zurich,13
Cairo,27
Casablanca,23
Marrakech,24
Tunis,29
Algiers,23
Tripoli,28
Tangier,21
Beirut,24
Amman,22
Istanbul,19
Doha,32
Manama,29
Nice,9
Santorini,21
Albufeira,19
Catania,25
Malaga,22
Dubrovnik,18
Naples,19
Toulon,19
Sharm El Sheikh,27
Hurghada,27
Djerba,25
Essaouira,20
Agadir,21
